season,team,avg_class,freshman_min_pct,sophomore_min_pct,junior_min_pct,senior_min_pct,underclass_min_pct,player_count
2015,Eastern Washington,2.901,12.2,20.0,33.3,34.5,32.2,13
2015,UCF,2.271,30.9,23.3,33.6,12.2,54.2,13
2015,Southeast Missouri St.,2.979,11.5,22.4,22.7,43.4,34.0,14
2015,Milwaukee,2.624,15.1,26.1,40.1,18.7,41.2,13
2015,Idaho St.,3.299,8.6,10.0,24.4,57.0,18.5,11
2015,Winthrop,2.644,17.5,32.6,17.9,32.0,50.1,14
2015,Western Illinois,2.699,5.2,36.3,41.8,16.7,41.6,13
2015,Alabama St.,3.421,7.2,2.5,31.1,59.1,9.7,17
2015,Iona,2.706,20.4,8.1,50.7,20.4,28.5,12
2015,Duquesne,2.660,11.2,23.2,54.0,11.6,34.4,15
2015,Alcorn St.,2.803,10.7,16.9,53.2,19.0,27.6,16
2015,Utah,2.554,28.1,11.8,36.7,23.4,39.9,13
2015,Fresno St.,2.777,2.7,41.1,31.9,24.3,43.8,11
2015,Central Connecticut,2.639,21.1,18.4,35.4,24.9,39.5,11
2015,Nebraska Omaha,2.870,21.2,0.0,49.5,29.4,21.2,12
2015,Purdue,2.200,36.4,21.5,27.9,14.2,57.9,14
2015,Pepperdine,2.174,23.5,35.6,40.9,0.0,59.1,14
2015,North Carolina A&T,2.395,16.7,33.5,41.5,7.8,50.2,15
2015,Incarnate Word,2.303,40.4,8.3,31.9,19.4,48.7,12
2015,Boston University,2.273,18.6,35.5,45.9,0.0,54.1,13
2015,Fairleigh Dickinson,2.206,39.0,26.7,9.1,25.2,65.7,12
2015,Nevada,2.595,19.6,18.9,44.0,17.5,38.5,13
2015,Valparaiso,2.324,27.4,26.2,33.0,13.4,53.6,11
2015,Florida A&M,2.169,40.2,12.8,37.0,10.0,53.0,12
2015,James Madison,2.233,12.7,51.3,36.0,0.0,64.0,12
2015,Marshall,2.645,17.1,30.7,22.9,29.3,47.7,12
2015,Eastern Michigan,3.006,14.8,14.3,26.4,44.5,29.1,13
