event_id,date,round,region,t1,t2,winner,loser,t1_score,t2_score,model_pick,model_conf,correct,upset,winner_seed,loser_seed,winner_flags,loser_flags,winner_hot,loser_hot,narrative,t1_fg_pct,t1_fg3_pct,t1_ft_pct,t1_rebounds,t1_off_reb,t1_turnovers,t1_assists,t1_steals,t1_blocks,t1_h1,t1_h2,t2_fg_pct,t2_fg3_pct,t2_ft_pct,t2_rebounds,t2_off_reb,t2_turnovers,t2_assists,t2_steals,t2_blocks,t2_h1,t2_h2
401856534,20260321,R32,South,Nebraska,Vanderbilt,Nebraska,Vanderbilt,74,72,Nebraska,0.503,True,False,0.0,0.0,Dangerous,Dangerous,,,,56.0,47.0,70.0,31.0,5.0,12.0,16.0,5.0,0.0,39.0,35.0,41.0,35.0,58.0,30.0,11.0,8.0,15.0,6.0,4.0,32.0,40.0
401856536,20260321,R32,West,Arkansas,High Point,Arkansas,High Point,94,88,Arkansas,0.657,True,False,0.0,0.0,Dangerous,Dangerous,,,,51.0,56.0,75.0,37.0,8.0,7.0,18.0,8.0,6.0,43.0,51.0,45.0,26.0,91.0,36.0,11.0,9.0,17.0,5.0,1.0,42.0,46.0
401856564,20260322,R32,West,Purdue,Miami,Purdue,Miami,79,69,Purdue,0.726,True,False,2.0,7.0,Dangerous,Dangerous,,,"✅ Purdue def. Miami 79–69 (#2 over #7). Model picked Purdue at 73% confidence — correct.
Purdue's FG% edge (53% vs 44%) was the clearest separator — a 10-point tournament win with that kind of efficiency suggests the model confidence was grounded in real quality.
Model was only 72% here but won by 10 — the actual performance was more one-sided than expected. Worth checking whether this team's metrics are underrated.",53.0,57.0,95.0,25.0,4.0,12.0,17.0,8.0,3.0,40.0,29.0,44.0,26.0,80.0,33.0,14.0,12.0,17.0,9.0,2.0,38.0,41.0
401856561,20260322,R32,Midwest,Iowa State,Kentucky,Iowa State,Kentucky,82,63,Kentucky,0.596,False,False,2.0,7.0,Dangerous,Dangerous,,,"❌ Iowa State def. Kentucky 82–63 (#2 over #7). Model picked Kentucky at 60% confidence — missed.
Kentucky committed 20 turnovers to Iowa State's 7 — teams that give up that many extra possessions rarely advance in the tournament.
Missed at 59% confidence and lost by 19 — the result was not close. An upset tag on Kentucky was there pre-tournament.",46.0,32.0,71.0,31.0,9.0,7.0,17.0,12.0,0.0,30.0,33.0,47.0,36.0,71.0,30.0,5.0,20.0,11.0,4.0,3.0,31.0,51.0
401856563,20260322,R32,,Florida,Iowa,Iowa,Florida,72,73,Florida,0.643,False,True,9.0,1.0,Dangerous,Dangerous,,,"❌ Iowa def. Florida 73–72 (#9 over #1) — UPSET. Model picked Florida at 64% confidence — missed.
Both teams shot similarly (51% vs 50%) and it came down to 1 points — games this tight often turn on late free throws or a single possession. A loss this close does not necessarily mean the models read was wrong.
Lost by 1 — within the noise floor of tournament basketball. Do not over-correct. A game this tight on a different night could easily flip.",50.0,32.0,74.0,27.0,9.0,11.0,18.0,7.0,1.0,33.0,40.0,51.0,29.0,64.0,27.0,10.0,10.0,14.0,4.0,0.0,31.0,41.0
401856562,20260322,R32,Midwest,Virginia,Tennessee,Tennessee,Virginia,72,79,Virginia,0.741,False,False,6.0,3.0,Dangerous,Dangerous,,,"❌ Tennessee def. Virginia 79–72 (#6 over #3) — UPSET. Model picked Virginia at 74% confidence — missed.
Tennessee shot 47% vs Virginia's 39%, yet it came down to 7 — the shooting edge was not enough to convert, which happens in close tournament games.
Lost by 7 — within the noise floor of tournament basketball. Do not over-correct. A game this tight on a different night could easily flip.",39.0,34.0,55.0,35.0,16.0,7.0,12.0,5.0,5.0,36.0,43.0,47.0,42.0,76.0,39.0,11.0,10.0,20.0,4.0,6.0,31.0,41.0
401856558,20260322,R32,East,Kansas,St. John's,St. John's,Kansas,65,67,St. John's,0.544,True,False,5.0,4.0,Dangerous,Dangerous,,,"✅ St. John's def. Kansas 67–65 (#5 over #4). Model picked St. John's at 54% confidence — correct.
St. John's shot 36% vs Kansas's 44%, yet it came down to 2 — something beyond shooting efficiency kept this close (turnovers, rebounding, late-game execution).",44.0,36.0,71.0,44.0,9.0,16.0,9.0,3.0,9.0,34.0,33.0,36.0,31.0,55.0,36.0,11.0,8.0,12.0,7.0,3.0,26.0,39.0
401856565,20260322,R32,West,Arizona,Utah State,Arizona,Utah State,78,66,Arizona,0.757,True,False,1.0,9.0,Dangerous,Dangerous,,,"✅ Arizona def. Utah State 78–66 (#1 over #9). Model picked Arizona at 76% confidence — correct.
Arizona's rebounding edge (54-26) was the clearest separator — a 12-point tournament win with that kind of advantage suggests the model confidence was grounded in real quality.
High-confidence call (75%) that held up by 12 — when the model is this sure and the margin is this wide, it signals the underlying quality metrics are reading the matchup correctly.",39.0,41.0,69.0,54.0,22.0,11.0,8.0,0.0,5.0,24.0,42.0,39.0,25.0,73.0,26.0,8.0,4.0,14.0,9.0,5.0,33.0,45.0
401856559,20260322,R32,East,Connecticut,UCLA,Connecticut,UCLA,73,57,Connecticut,0.475,True,False,2.0,7.0,Dangerous,Dangerous,,,"✅ Connecticut def. UCLA 73–57 (#2 over #7). Model picked Connecticut at 48% confidence — correct.
Connecticut shot 47% vs UCLA's 39% — a 8-point FG% advantage almost always decides the final margin in tournament play.
Model was only 47% here but won by 16 — the actual performance was more one-sided than expected. Worth checking whether this team's metrics are underrated.",47.0,33.0,90.0,36.0,11.0,16.0,16.0,7.0,5.0,33.0,24.0,39.0,38.0,67.0,24.0,8.0,11.0,14.0,4.0,1.0,38.0,35.0
401856560,20260322,R32,,Alabama,Texas Tech,Alabama,Texas Tech,90,65,Alabama,0.941,True,False,4.0,5.0,Dangerous,,,,"✅ Alabama def. Texas Tech 90–65 (#4 over #5). Model picked Alabama at 94% confidence — correct.
Alabama shot 44% vs Texas Tech's 34% — a 10-point FG% advantage almost always decides the final margin in tournament play.
High-confidence call (94%) that held up by 25 — when the model is this sure and the margin is this wide, it signals the underlying quality metrics are reading the matchup correctly.",44.0,45.0,73.0,47.0,18.0,13.0,25.0,8.0,5.0,25.0,40.0,34.0,16.0,79.0,35.0,14.0,10.0,8.0,9.0,4.0,49.0,41.0
